id	name	formula	inchi	solubility	vendor	vendor_id	hmdb_id	chebi_id	lipidmaps_id	cas_id	pubchem_id	lot_num	location	purchase_date	Average Molecular weight (g/mol)	Exact mass	m/z_Neg mode	m/z_Pos Mode	Adducts Na	Adducts NH4	Class	Retention time	Date of Prep	Protocol ID	Comments	Sample weight for stock (mg) 
226	d5-TG ISTD Mix I	C61H99D5O6		Methanol/IPA	Avanti	LM-6000			LMGL03010015																	
227	d5-TG ISTD Mix I	C61H93D5O6		Methanol/IPA	Avanti	LM-6000			LMGL03010016																	
215	d5-DG ISTD Mix I	C43H59D5O5		Methanol/IPA	Avanti	LM-6001			LMGL02010308																	
207	d5-DG ISTD Mix I	C31H55D5O5		Methanol/IPA	Avanti	LM-6001			LMGL02010309																	
208	d5-DG ISTD Mix I	C33H59D5O5		Methanol/IPA	Avanti	LM-6001			LMGL02010310																	
209	d5-DG ISTD Mix I	C35H63D5O5		Methanol/IPA	Avanti	LM-6001			LMGL02010311																	
210	d5-DG ISTD Mix I	C37H67D5O5		Methanol/IPA	Avanti	LM-6001			LMGL02010312																	
211	d5-DG ISTD Mix I	C41H75D5O5		Methanol/IPA	Avanti	LM-6001			LMGL02010313																	
212	d5-DG ISTD Mix I	C43H79D5O5		Methanol/IPA	Avanti	LM-6001			LMGL02010314																	
213	d5-DG ISTD Mix I	C43H71D5O5		Methanol/IPA	Avanti	LM-6001			LMGL02010315																	
214	d5-DG ISTD Mix I	C43H63D5O5		Methanol/IPA	Avanti	LM-6001			LMGL02010316																	
197	Sphingosine (C17 base)	C17H35NO2		Methanol/IPA	Avanti	LM-6002			LMSP01040002																	
198	Sphinganine (C17 base)	C17H37NO2		Methanol/IPA	Avanti	LM-6002			LMSP01040003																	
199	Sphingosine-1-P (C17 base)	C17H36NO5P		Methanol/IPA	Avanti	LM-6002			LMSP01040004																	
200	Sphinganine-1-P (C17 base)	C17H38NO5P		Methanol/IPA	Avanti	LM-6002			LMSP01040005																	
201	Lactosyl(§) C12 Ceramide	C30H59NO3		Methanol/IPA	Avanti	LM-6002			LMSP02010002																	
202	12:0 Sphingomyelin	C43H85NO3		Methanol/IPA	Avanti	LM-6002			LMSP02010013																	
203	Glucosyl(§) C12 Ceramide	C30H60NO6P		Methanol/IPA	Avanti	LM-6002			LMSP02050001																	
204	12:0 Ceramide	C35H71N2O6P		Methanol/IPA	Avanti	LM-6002			LMSP03010002																	
205	12:0 Ceramide-1-P	C36H69NO8		Methanol/IPA	Avanti	LM-6002			LMSP05010001 																	
206	25:0 Ceramide	C42H79NO13		Methanol/IPA	Avanti	LM-6002			LMSP05010002																	
219	Cardiolipin Mix I	C95H178O17P2		Methanol/IPA	Avanti	LM-6003			LMGP12010002																	
216	Cardiolipin Mix I	C66H120O17P2		Methanol/IPA	Avanti	LM-6003			LMGP12010003																	
217	Cardiolipin Mix I	C70H134O17P2		Methanol/IPA	Avanti	LM-6003			LMGP12010004																	
218	Cardiolipin Mix I	C89H166O17P2		Methanol/IPA	Avanti	LM-6003			LMGP12010005																	
59	Biotin	C10H16N2O3S		less water souble		B4501					171548															
91	Cholesteryl linoleate	C45H76O2  		Methanol/IPA		C0289					6379755															
52	Cytidine monophosphate 	C9H12N3O8PNa2		Water/Methanol		C1006					6131															
41	Cytidine	C9H13N3O5  		Water		C4654					6175															
75	Citric acid 	C6H8O7		Methanol/IPA		C7129					19782904															
95	Cholesterol	C27H46O		Methanol/IPA		C8667					11025495															
55	Cytidine triphosphate  	C9H14N3O14P3		Water/Methanol		C9274					6176															
78	Chenodeoxycholic acid	C24H40O4		Methanol/IPA		C9377 					10133															
43	Cytidine diphosphate 	C9H15N3O11P2		Water		C9755					6132															
85	Sphinganine	C18H39NO2		Methanol/IPA		D3314 					91486															
93	Desmosterol	C27H44O  		Methanol/IPA		D6513					439577															
